"(Intercept)","Internal_Mobility_Index","External_Mobility_Index","Employment_Conditions","Business_Climate","Socio_cultural_Factors","Connectivity_and_Mobility","Health_and_Ecology","Housing_and_Urban_Space","Commune","lower","upper"
-0.0619086541355527,-0.306588335507523,0.0602397281225706,0.148402130513792,-0.00649016927993276,0.0100583918793733,-0.0502252261834897,0.00915861309859176,0.140807672727463,"Independencia",-0.448742879776599,-0.164433791238446
0.0283363548547484,-0.291141168881751,0.167232041220806,0.214282629994561,-0.0548170531114884,0.00472208178518223,-0.0941458317234267,-0.0488227570235964,0.115486202456041,"Macul",-0.412492295495768,-0.169790042267734
-0.107834345217062,-0.273472219423022,-0.0336536711495394,0.0664601201255385,0.0543490797966135,0.0194943321920376,-0.0158078342149439,0.046050068278151,0.124398546077417,"La Granja",-0.31849006380322,-0.228454375042824
0.101571163811963,-0.209436965595721,0.288168551734493,0.289933841855281,-0.180725735816233,-0.0248319352838923,-0.113948317844354,-0.0985355081684544,0.10417322224676,"La Reina",-0.275511847631881,-0.14336208355956
-0.105086191492791,-0.135390299378905,-0.0436396195142258,0.0289089951097785,-0.000483454627719181,-0.00139574623106622,0.0180148449225788,0.051175416921615,0.0947309228097144,"La Cisterna",-0.194533984962134,-0.0762466137956757
0.13902276866952,-0.114410629861924,0.280511645773168,0.246879302948493,-0.171217620290535,-0.0245860370021471,-0.107576304008196,-0.111621428737788,0.0496868938935131,"Penaflor",-0.207522576184089,-0.0212986835397586
-0.0979788714755104,-0.11264446752954,-0.0743394393687544,-0.0103299707667028,0.0417777829020291,0.00839750413436505,0.0217228624525747,0.0532531609779081,0.0666202857056491,"Pudahuel",-0.203894590970283,-0.021394344088798
-0.0846009611072514,-0.106878543064624,-0.080810609311043,-0.024263488916939,0.0655697442099734,0.0150712373347312,0.0170893706988622,0.0481363440612389,0.0493164927111256,"Puente Alto",-0.163456351131897,-0.0503007349973513
-0.112134474612913,-0.103485288464399,-0.134895579403204,-0.0680159369402408,0.10751357484402,0.0229817529561366,0.0334896811401929,0.0693359008235412,0.0432979027715215,"Cerro Navia",-0.192419688035257,-0.0145508888935421
-0.138847454481608,-0.102698486674462,-0.149915561744084,-0.0713425594016851,0.0945313005641604,0.0175201656503133,0.0470877907162749,0.0841884726453641,0.0596724229477864,"Lo Espejo",-0.179582072574016,-0.0258149007749087
0.079794698550688,-0.0867837472487508,0.180127886285498,0.165407992468994,-0.11518423856557,-0.017137688756892,-0.0679090557973119,-0.0676918415880245,0.0429134420232099,"Vitacura",-0.144998116407549,-0.0285693780899524
0.00300473701359405,-0.0823556284106428,0.097923424049292,0.115162305360826,-0.0963359795918349,-0.0190667341013455,-0.0265204038648031,-0.0190565487756354,0.0669050030429944,"San Ramon",-0.203641856887257,0.0389306000659708
0.0229183862406613,-0.0636483833857225,0.0810461755467828,0.0850406106454846,-0.0556383218330616,-0.00838049009725335,-0.0305488058739359,-0.0252243144489345,0.0353671515527606,"El Bosque",-0.119530126138718,-0.0077666406327272
-0.0772023544012869,-0.0591016091156294,-0.0924901167973148,-0.0487176772431174,0.0670323511919194,0.0134294798729155,0.0260905274973216,0.0481115103179514,0.028163648613579,"Quinta Normal",-0.206342301798618,0.0881390835673586
-0.0536734470291771,-0.0487241638573896,-0.0673424477066076,-0.0355713023718195,0.0551076700528424,0.0118575964215744,0.0163579580213932,0.0336333733330331,0.0189831771043795,"Conchali",-0.0754798282776776,-0.0219684994371016
-0.0967816598801567,-0.0483453066463619,-0.153089749079181,-0.104247275042982,0.124957149141109,0.0255464072512526,0.0408441106429515,0.0668094997283863,0.00969667964557835,"Renca",-0.138073454372681,0.0413828410799568
0.0419590609206557,-0.0219107805886993,0.0871277660383896,0.074681577961623,-0.0619736368616462,-0.0106576663102611,-0.0294091005390608,-0.0336097620694323,0.0144908946627972,"Pedro Aguirre Cerda",-0.095123348450291,0.0513017872728924
-0.0866574557418073,0.0143846200134906,-0.157197565404337,-0.124958112839198,0.110921467335786,0.0194789668077231,0.0519622352424404,0.0648975222051197,-0.0119207442948602,"La Pintana",-0.210958981436458,0.23972822146344
0.141618799628366,0.0164153009315554,0.217282655751323,0.155818191408111,-0.144218358702465,-0.0248554809502032,-0.0731094802759428,-0.0986851333402193,-0.00975099982349235,"Nunoa",-0.0713780059245316,0.104208607787642
0.0665387483754422,0.0283775381321001,0.0096848818084585,-0.0260359110234658,0.0570056028580067,0.0180438524554672,-0.0250043656279404,-0.0317502211857082,-0.0616159375968192,"San Joaquin",-0.0756640071153953,0.132419083379596
0.0204634720667691,0.0407133498620409,0.0179352879957995,0.00141006150443102,-0.0213569416057678,-0.00581817788711173,-0.000328360083687563,-0.0108719358001833,-0.0151549905548852,"Lo Barnechea",0.0255772588442294,0.0558494408798525
-0.0376277398851998,0.0468684254924589,-0.0904652766211193,-0.0848191051847732,0.0592837569594378,0.00898449189285945,0.0337646406303817,0.0329621957664534,-0.0243709096975701,"Lo Prado",-0.103701700002156,0.197438550987074
-0.0377319596013686,0.0497803794894318,-0.0975831126058233,-0.0926642791781568,0.0680608201110784,0.0109869600338235,0.0348657685988884,0.0341841461984885,-0.0288688995187698,"Cerrillos",-0.00756922209949708,0.107129981078361
-0.0350776906004822,0.066831142900602,-0.10489467417907,-0.104641780828767,0.0732168768561022,0.0115481425761911,0.0382128844712752,0.0346409477976223,-0.0382630429258545,"San Bernardo",0.00667310169193399,0.12698918410927
0.197903384094861,0.0727598249140246,0.304146083179682,0.20889649787708,-0.228641038067973,-0.0441635921781446,-0.0896750504999973,-0.136207921897126,-0.0209979167948303,"Maipu",-0.0142881167573877,0.159807766585437
0.0870893090130349,0.118842539338071,0.0187930916511468,-0.0431354306600499,0.0224008419733307,0.00623372723150165,-0.0124808988753182,-0.0395650889632319,-0.089654301373868,"San Miguel",0.0363787954818752,0.201306283194267
-0.0272993742816896,0.122944819386202,-0.078512954954915,-0.0915614810468204,0.0148660237640989,-0.00530971016603357,0.047415628597102,0.0290170974049049,-0.0388752106654842,"Providencia",0.067107873256338,0.178781765516066
0.127619479938817,0.132838160296709,0.143669628930246,0.0644055517808144,-0.115858721493565,-0.0253719895768319,-0.0338879970163419,-0.0768939947735424,-0.05733815121916,"La Florida",0.110043210563611,0.155633110029807
0.154587877412198,0.133559993986617,0.13515113768089,0.0430395089972626,-0.0687763009433654,-0.0115392899789789,-0.0461703812224265,-0.0882772071310089,-0.0879047866987324,"Recoleta",0.0346515367532512,0.232468451219984
0.0538822126613722,0.137707545063082,0.0156856080554411,-0.0345744110230636,-0.0260578959865718,-0.00952709347878095,0.00821588929552147,-0.0228025564454736,-0.0629808491999411,"Las Condes",0.119510860886569,0.155904229239594
0.037725676482661,0.152111639965053,-0.0159032441920042,-0.0624307916781881,-0.0082304370930538,-0.00724250027211943,0.0209506862801326,-0.00994284598022662,-0.0683365891599149,"Huechuraba",0.125127440948909,0.179095838981197
0.0041660042619797,0.164494722535827,-0.0900144883221241,-0.125761474746109,0.0505556669935397,0.00384272883162598,0.0433801878484512,0.0174204167025138,-0.0817142330915987,"Quilicura",0.115382334356393,0.21360711071526
0.0447607032390022,0.254846467830248,0.0500110450230226,-0.016982337927014,-0.150267365986222,-0.047408164258347,0.0404399048118093,-0.0194947157887074,-0.0523808638588456,"Estacion Central",0.138221324180096,0.3714716114804
-0.19252020328608,0.613539553487822,-0.689988528478443,-0.738675991718393,0.439123560294051,0.0590944772211939,0.276842441776848,0.216079095850768,-0.314582134513343,"Santiago",0.522500244295248,0.704578862680395
